literal,direction,category
does not demonstrate,backward,neg
did not demonstrate,backward,neg
do not demonstrate,backward,neg
complications include,backward,hypo
"complications include,",backward,hypo
given some brief thought to,backward,poss
never been high enough to cause,backward,poss
options for,backward,hypo
which demonstrates,terminate,hypo
interested in,backward,poss
etiology indeterminate,pseudo,poss
patient and family,pseudo,exp_family
patient and his husband,pseudo,exp_family
patient and her husband,pseudo,exp_family
patient and his wife,pseudo,exp_family
patient and her wife,pseudo,exp_family
patient and his family,pseudo,exp_family
patient and her family,pseudo,exp_family
patient and husband,pseudo,exp_family
patient and wife,pseudo,exp_family
family in the room,pseudo,exp_family
does not suggest,backward,neg
do not suggest,backward,neg
did not suggest,backward,neg
not suggest,pseudo,poss
investigated for,backward,poss
investigating for,backward,poss
investigate for,backward,poss
no overt,backward,poss
likely due to,forward,poss
resolution of,backward,neg
no progression of the,pseudo,neg
because,terminate,neg
consideration given history,forward,hypo
considered given history,forward,hypo
consideration given history,backward,hist
considered given history,backward,hist
patient had,terminate,neg
patient had,backward,hist
was diagnosed,terminate,neg
was diagnosed,backward,hist
from,terminate,poss
from,terminate,neg
maybe,backward,poss
no date,pseudo,neg
no date:,pseudo,neg
not limited,pseudo,neg
didn't have,backward,neg
don't have,backward,neg
never used,backward,neg
no question,pseudo,neg
her2 negative,pseudo,neg
who also had,pseudo,hypoexp
symptomatology,forward,poss
pmhx,backward,hist
fmhx,backward,hist
fmhx,backward,exp_family
family history,backward,exp_family
family history,backward,hist
family member,backward,exp_family
likely to pursue,pseudo,poss
likely success,pseudo,poss
likely failure,pseudo,poss
cousin,backward,exp_family
cousins,backward,exp_family
trace,backward,poss
prn,backward,hypo
potential,backward,poss
will be considered,forward,hypo
would be considered,forward,hypo
should be considered,forward,hypo
considered,backward,hypo
consider,backward,hypo
consideration,backward,hypo
should consider,backward,hypo
should have,backward,hypo
should be offered,backward,hypo
scheduled,backward,hypo
planned,backward,hypo
plans for,backward,hypo
plan for,backward,hypo
plans are,backward,hypo
candidate for,backward,hypo
not a candidate for,backward,neg
not be a candidate for,backward,neg
put off,backward,hypo
vs,backward,hypo
discuss,backward,hypo
discussed,backward,hypo
discussion,backward,hypo
versus,backward,hypo
referred,backward,hypo
advised,backward,hypo
chance,backward,hypo
risky,forward,poss
recommended,forward,poss
if experiences worsening,backward,hypo
does not have,backward,neg
doesn't have,backward,neg
doesn't appear to have,backward,neg
does not appear to have,backward,neg
excluding,backward,neg
ruled out,backward,neg
differential diagnosis,backward,poss
would not want to have,backward,neg
decline,backward,neg
declined,backward,neg
appear,backward,poss
appears,backward,poss
suspect,backward,poss
suspects,backward,poss
to evaluate,backward,hypo
indeterminate,forward,poss
indeterminable,backward,poss
to prevent,backward,hypo
has been instructed,backward,hypo
has been instructed in the sign,backward,hypo
has been instructed in the signs,backward,hypo
should the patient develop,backward,hypo
none current,forward,neg
no current,forward,neg
hx,backward,hist
previous,backward,hist
previously,backward,hist
previously undergone,backward,hist
after undergoing,backward,hist
deny,backward,neg
no:,backward,neg
no :,backward,neg
(no,backward,neg
--no,backward,neg
don't sound like,backward,neg
doesn't sound like,backward,neg
denies any of the following symptoms:,backward,neg
"denies, however,",backward,neg
denies any associated,backward,neg
denies any significant,backward,neg
precaution for,backward,poss
resection of,backward,hist
debridement of,backward,hist
indication for,backward,hist
admitted for,backward,hist
likely,backward,poss
did deny,backward,neg
no source of,backward,poss
no source for,backward,poss
did not show much of,backward,poss
did not show much for,backward,poss
no definite finding for,backward,poss
no definite finding of,backward,poss
no definite findings for,backward,poss
no definite findings of,backward,poss
concern about,backward,poss
concerned about,backward,poss
would,backward,poss
could have,backward,poss
may have,backward,poss
raise the question of,backward,poss
raise the question for,backward,poss
raises the question of,backward,poss
raises the question for,backward,poss
highly unlikely,backward,poss
did not show any,backward,neg
do not show any,backward,neg
does not show any,backward,neg
suspicious for,backward,poss
suspicion for,backward,poss
suspicious of,backward,poss
suspicion of,backward,poss
a question of,backward,poss
a question for,backward,poss
without evidence of,backward,neg
without evidence for,backward,neg
without sign of,backward,neg
without sign for,backward,neg
without signs of,backward,neg
without signs for,backward,neg
did not demonstrate,backward,neg
suggests,backward,poss
suggest,backward,poss
neg of,backward,neg
neg for,backward,neg
whether,backward,hypo
sound more like,backward,poss
sound like,backward,poss
sounds more like,backward,poss
sounds like,backward,poss
look more like,backward,poss
look like,backward,poss
looks more like,backward,poss
looks like,backward,poss
review the use,backward,poss
reviewed,backward,poss
likely,forward,poss
will have,backward,hypo
may be,backward,poss
for excluding,backward,poss
potentially represent,backward,poss
possibility of,backward,poss
possibility for,backward,poss
should symptoms suggesting,backward,poss
look for,backward,hypo
no evidence of,backward,neg
no evidences of,backward,neg
no evidence for,backward,neg
no evidences for,backward,neg
no sign of,backward,neg
no sign for,backward,neg
no signs of,backward,neg
no signs for,backward,neg
high-risk that she is at for,backward,hypo
high-risk that she is at for,backward,hypo
high risk that she is at for,backward,hypo
high risk that she is at for,backward,hypo
high-risk that the patient is at for,backward,hypo
high-risk that the patient is at for,backward,hypo
high risk that the patient is at for,backward,hypo
high risk that the patient is at for,backward,hypo
high-risk that he is at for,backward,hypo
high-risk that he is at for,backward,hypo
high risk that he is at for,backward,hypo
high risk that he is at for,backward,hypo
risk of,backward,hypo
risk for,backward,hypo
risks of,backward,hypo
risks for,backward,hypo
cardiovascular risk,pseudo,hypo
cardiovascular risks,pseudo,hypo
risk,backward,hypo
risks,backward,hypo
s/p,backward,hist
at high-risk of,backward,hypo
at high-risk for,backward,hypo
at high risk of,backward,hypo
at high risk for,backward,hypo
at risk of,backward,hypo
at-risk for,backward,hypo
at risk of,backward,hypo
at-risk for,backward,hypo
re-assess,backward,hypo
reassess,backward,hypo
assess,backward,hypo
prior,backward,hist
pmh of,backward,hist
pmh for,backward,hist
concern,backward,poss
concerning,backward,poss
is concerned,forward,poss
is concerned of,backward,poss
is concerned for,backward,poss
a concern of,backward,poss
a concern for,backward,poss
is possible,forward,poss
is probable,forward,poss
is potentional,forward,poss
no overt clinical sign of,backward,neg
no overt clinical sign for,backward,neg
no overt clinical signs of,backward,neg
no overt clinical signs for,backward,neg
monitor of,backward,hypo
monitor for,backward,hypo
no source of,backward,neg
no source for,backward,neg
was ruled out of,backward,neg
is ruled out of,backward,neg
was ruled out for,backward,neg
is ruled out for,backward,neg
no evidence of,backward,neg
no evidence for,backward,neg
was negative of,backward,neg
was negative for,backward,neg
is negative of,backward,neg
is negative for,backward,neg
probable,backward,poss
possible,backward,poss
potential,backward,poss
probable for,backward,poss
probable of,backward,poss
possible of,backward,poss
possible for,backward,poss
potential of,backward,poss
potential for,backward,poss
negative,backward,neg
is possible,forward,poss
is probable,forward,poss
is negative,forward,neg
was possible,forward,poss
was probable,forward,poss
was negative,forward,neg
absence of,backward,neg
absence for,backward,neg
adequate to rule her out,backward,neg
adequate to rule him out,backward,neg
adequate to rule out,backward,neg
adequate to rule the patient out,backward,neg
although,terminate,neg
any other,backward,neg
apart from,terminate,neg
are ruled out,forward,neg
as a cause of,terminate,neg
as a cause for,terminate,neg
as a etiology for,terminate,neg
as a etiology of,terminate,neg
as a reason for,terminate,neg
as a reason of,terminate,neg
as a secondary cause for,terminate,neg
as a secondary cause of,terminate,neg
as a secondary etiology for,terminate,neg
as a secondary etiology of,terminate,neg
as a secondary origin for,terminate,neg
as a secondary origin of,terminate,neg
as a secondary reason for,terminate,neg
as a secondary reason of,terminate,neg
as a secondary source for,terminate,neg
as a secondary source of,terminate,neg
as a source for,terminate,neg
as a source of,terminate,neg
as a cause for,terminate,neg
as a cause of,terminate,neg
as an etiology for,terminate,neg
as an etiology of,terminate,neg
as an origin for,terminate,neg
as an origin of,terminate,neg
as a reason for,terminate,neg
as a reason of,terminate,neg
as a secondary cause for,terminate,neg
as a secondary cause of,terminate,neg
as a secondary etiology for,terminate,neg
as a secondary etiology of,terminate,neg
as a secondary origin for,terminate,neg
as a secondary origin of,terminate,neg
as a secondary reason for,terminate,neg
as a secondary reason of,terminate,neg
as a secondary source for,terminate,neg
as a secondary source of,terminate,neg
as a source for,terminate,neg
as a source of,terminate,neg
as has,terminate,neg
as needed,backward,hypo
as the cause for,terminate,neg
as the cause of,terminate,neg
as the etiology for,terminate,neg
as the etiology of,terminate,neg
as the origin for,terminate,neg
as the origin of,terminate,neg
as the reason for,terminate,neg
as the reason of,terminate,neg
as the secondary cause for,terminate,neg
as the secondary cause of,terminate,neg
as the secondary etiology for,terminate,neg
as the secondary etiology of,terminate,neg
as the secondary origin for,terminate,neg
as the secondary origin of,terminate,neg
as the secondary reason for,terminate,neg
as the secondary reason of,terminate,neg
as the secondary source for,terminate,neg
as the secondary source of,terminate,neg
as the source for,terminate,neg
as the source of,terminate,neg
as well as any,backward,neg
aside from,terminate,neg
aunt,backward,exp_family
aunt:,backward,exp_family
aunts,backward,exp_family
aunt's,backward,exp_family
be ruled out,forward,poss
be ruled out for,backward,poss
because,terminate,hypo
being ruled out,forward,poss
brother,backward,exp_family
brother:,backward,exp_family
brother's,backward,exp_family
brothers,backward,exp_family
but,terminate,neg
can be ruled out,forward,neg
can be ruled out for,backward,neg
can rule her out,backward,neg
can rule her out against,backward,neg
can rule her out for,backward,neg
can rule him out,backward,neg
can rule him out against,backward,neg
can rule him out for,backward,neg
can rule out,backward,neg
can rule out against,backward,neg
can rule out for,backward,neg
can rule the patient out,backward,neg
can rule the patinet out against,backward,neg
can rule the patinet out for,backward,neg
cannot,backward,neg
cannot exclude,backward,poss
cause for,terminate,neg
cause of,terminate,neg
causes for,terminate,neg
causes of,terminate,neg
checked for,backward,neg
clear of,backward,neg
come back for,backward,hypo
come back to,backward,hypo
complains,terminate,histexp
could be ruled out,forward,poss
